,number_of_ACK,number_of_SYN,number_of_RST,number_of_PA,number_of_FA,number_of_SA,number_of_FPA,number_of_RA,ratio_syn_ack,ratio_ack_rst,ratio_syn_rst,number_sport_20percent,number_sport_35percent,number_sport_50percent,number_sport_75percent,number_dport_20percent,number_dport_35percent,number_dport_50percent,number_dport_75percent,number_src_20percent,number_src_35percent,number_src_50percent,number_src_75percent,number_dst_20percent,number_dst_35percent,number_dst_50percent,number_dst_75percent,average_IP_bytes,ratio_incom_to_outgo,number_uniq_ips,attack_aggregate
1118,45,5,0,36,9,5,0,0,0.1111111111111111,45.0,5.0,1,1,0,0,1,1,0,0,3,1,1,0,3,1,1,0,67.2,1.0,3,0.0
1119,46,4,0,38,7,4,1,0,0.08695652173913043,46.0,4.0,1,1,0,0,1,1,0,0,2,1,1,0,2,1,1,0,70.34,1.0,3,0.0
1120,44,6,0,32,9,6,3,0,0.13636363636363635,44.0,6.0,1,1,0,0,1,1,0,0,2,1,0,0,2,1,1,0,71.68,1.0408163265306123,3,0.0
1121,45,5,0,35,8,5,2,0,0.1111111111111111,45.0,5.0,1,1,0,0,1,1,0,0,2,1,1,0,2,1,1,0,70.8,1.0,3,0.0
1122,46,4,0,38,8,4,0,0,0.08695652173913043,46.0,4.0,1,1,0,0,1,1,0,0,2,1,1,0,2,1,0,0,68.4,0.9607843137254902,3,0.0
1123,45,5,0,35,7,5,3,0,0.1111111111111111,45.0,5.0,1,1,0,0,1,1,0,0,2,1,1,0,2,1,1,0,71.9,1.0,3,0.0
1124,45,5,0,35,9,5,1,0,0.1111111111111111,45.0,5.0,1,1,0,0,1,1,0,0,2,1,1,0,2,1,1,0,70.52,1.0,3,0.0
1125,45,5,0,35,9,5,1,0,0.1111111111111111,45.0,5.0,1,1,0,0,1,1,0,0,2,1,1,0,2,1,1,0,69.44,1.0,3,0.0
1126,45,5,0,35,7,5,3,0,0.1111111111111111,45.0,5.0,1,1,0,0,1,1,0,0,2,1,1,0,2,1,1,0,72.08,1.0,3,0.0
1127,46,4,0,36,10,4,0,0,0.08695652173913043,46.0,4.0,1,1,0,0,1,1,0,0,3,1,1,0,3,1,1,0,67.04,1.0,3,0.0
1128,45,5,0,37,7,5,1,0,0.1111111111111111,45.0,5.0,1,1,0,0,1,1,0,0,2,1,1,0,2,1,1,0,70.25,1.0,3,0.0
1129,45,5,0,35,8,5,2,0,0.1111111111111111,45.0,5.0,1,1,0,0,1,1,0,0,3,1,1,0,3,1,1,0,70.8,1.0,3,0.0
1130,45,5,0,33,9,5,3,0,0.1111111111111111,45.0,5.0,1,1,0,0,1,1,0,0,3,1,1,0,3,1,1,0,71.35,1.0,3,0.0
1131,44,6,0,34,7,6,3,0,0.13636363636363635,44.0,6.0,1,1,0,0,1,1,0,0,2,1,1,0,2,1,1,0,73.27,1.0,3,0.0
1132,45,5,0,35,8,5,2,0,0.1111111111111111,45.0,5.0,1,1,0,0,1,1,0,0,2,1,1,0,2,1,1,0,70.8,1.0,3,0.0
1133,45,5,0,35,8,5,2,0,0.1111111111111111,45.0,5.0,1,1,0,0,1,1,0,0,2,1,1,0,2,1,1,0,70.8,1.0,3,0.0
1134,46,4,0,36,9,4,1,0,0.08695652173913043,46.0,4.0,1,1,0,0,1,1,0,0,3,1,1,0,3,1,1,0,68.33,1.0,3,0.0
1135,45,5,0,35,8,5,2,0,0.1111111111111111,45.0,5.0,1,1,0,0,1,1,0,0,2,1,1,0,2,1,1,0,70.8,1.0,3,0.0
1136,45,5,0,37,8,5,0,0,0.1111111111111111,45.0,5.0,1,1,0,0,1,1,0,0,3,1,0,0,3,1,1,0,67.56,1.0408163265306123,3,0.0
1137,46,4,0,38,7,4,1,0,0.08695652173913043,46.0,4.0,1,1,0,0,1,1,0,0,2,1,1,0,2,1,1,0,70.34,1.0,3,0.0
1138,46,4,0,38,8,4,0,0,0.08695652173913043,46.0,4.0,1,1,0,0,1,1,0,0,2,1,1,0,2,1,1,0,67.34,1.0,3,0.0
1139,45,5,0,36,10,4,0,0,0.1111111111111111,45.0,5.0,1,1,0,0,1,1,0,0,2,1,1,0,2,1,1,0,67.12,1.0,3,0.0
1140,46,4,0,37,8,5,0,0,0.08695652173913043,46.0,4.0,1,1,0,0,1,1,0,0,2,1,1,0,2,1,1,0,67.9,1.0,3,0.0
1141,46,4,0,38,8,4,0,0,0.08695652173913043,46.0,4.0,1,1,0,0,1,1,0,0,2,1,1,0,2,1,1,0,68.4,1.0,3,0.0
1142,46,4,0,38,8,4,0,0,0.08695652173913043,46.0,4.0,1,1,0,0,1,1,0,0,2,1,1,0,2,1,1,0,67.58,1.0,3,0.0
1143,46,4,0,38,8,4,0,0,0.08695652173913043,46.0,4.0,1,1,0,0,1,1,0,0,3,1,1,0,3,1,1,0,67.66,1.0,3,0.0
1144,46,4,0,38,8,4,0,0,0.08695652173913043,46.0,4.0,1,1,0,0,1,1,0,0,2,1,1,0,2,1,1,0,67.34,1.0,3,0.0
1145,45,5,0,36,10,4,0,0,0.1111111111111111,45.0,5.0,1,1,0,0,1,1,0,0,3,1,1,0,3,1,1,0,67.12,1.0,3,0.0
1146,46,4,0,37,8,5,0,0,0.08695652173913043,46.0,4.0,1,1,0,0,1,1,0,0,2,1,1,0,2,1,1,0,67.9,1.0,3,0.0
1147,46,4,0,38,7,4,1,0,0.08695652173913043,46.0,4.0,1,1,0,0,1,1,0,0,2,1,1,0,2,1,1,0,69.58,1.0,3,0.0
1148,45,4,0,37,10,4,0,0,0.08888888888888889,45.0,4.0,1,1,0,0,1,1,0,0,2,1,1,0,2,1,1,0,67.32,1.0,3,0.0
1149,46,5,0,36,8,5,0,0,0.10869565217391304,46.0,5.0,1,1,0,0,1,1,0,0,3,1,1,0,3,1,1,0,67.2,1.0,3,0.0
1150,46,4,0,38,8,4,0,0,0.08695652173913043,46.0,4.0,1,1,0,0,1,1,0,0,2,1,1,0,2,1,1,0,68.82,1.0,3,0.0
1151,46,4,0,38,8,4,0,0,0.08695652173913043,46.0,4.0,1,1,0,0,1,1,0,0,2,1,1,0,2,1,1,0,67.57,1.0,3,0.0
1152,45,5,0,35,8,5,2,0,0.1111111111111111,45.0,5.0,1,1,0,0,1,1,0,0,2,1,1,0,2,1,1,0,70.8,1.0,3,0.0
1153,46,4,0,38,8,4,0,0,0.08695652173913043,46.0,4.0,1,1,0,0,1,1,0,0,2,1,1,0,2,1,1,0,67.78,1.0,3,0.0
1154,46,4,0,38,8,4,0,0,0.08695652173913043,46.0,4.0,1,1,0,0,1,1,0,0,2,1,1,0,2,1,1,0,67.31,1.0,3,0.0
1155,45,5,0,35,9,5,1,0,0.1111111111111111,45.0,5.0,1,1,0,0,1,1,0,0,2,1,1,0,2,1,1,0,69.62,1.0,3,0.0
1156,46,4,0,38,8,4,0,0,0.08695652173913043,46.0,4.0,1,1,0,0,1,1,0,0,2,1,1,0,2,1,1,0,67.58,1.0,3,0.0
1157,45,5,0,35,8,5,2,0,0.1111111111111111,45.0,5.0,1,1,0,0,1,1,0,0,2,1,1,0,2,1,1,0,70.8,1.0,3,0.0
